Url,Type,Title,Publisher Place,Publisher,Date,Authors,Volume,Language,Pages
https://www.biodiversitylibrary.org/page/18387125,Monograph/Item,"C. E. Hobbs Botanical hand-book of common local, English, botanical and pharmacopial names arranged in alphabetical order, of most of the crude vegetable drugs, etc., in common use. Especially designed as a reference book for druggists and apothecaries.  ","Boston,","Printed by C.C. Roberts,",1876,"Hobbs, Charles E.       ",,English,Page 185
https://www.biodiversitylibrary.org/page/38464672,Monograph/Item,"C.E. Hobbs' Botanical hand-book : of common local, English, botanical and pharmacopÅ“ial names arranged in alphabetical order, of most of the crude vegetable drugs, etc., in common use : their properties, productions and uses in an abbreviated form : especially designed as a reference book for druggists  and apothecaries /  ",Boston :,"Printed by C.C. Roberts,",1876,"Hobbs, Charles E.       ",,English,
https://www.biodiversitylibrary.org/page/49160182,Monograph/Item,"C.E. Hobb's botanical hand-book of common local, English, botanical and pharmacopoeial names arranged in alphabetical order, of most of the crude vegetable drugs, etc., in common use : especially designed as a reference book for druggists and apothecaries /  ",Boston :,"Printed by C.C. Roberts,",1876,"Hobbs, Charles E.       ",,English,
https://www.biodiversitylibrary.org/page/55233650,Monograph/Item,Carl von LinneÌÅs ungdomsskrifter /  ,Stockholm :,"P.A. Norstedt & soÌˆners,",1888,"LinneÌÅ, Carl von,      1707 -1778",v.1,Swedish,Page 167
https://www.biodiversitylibrary.org/page/41610859,Monograph/Item,A catalog of cultivated woody plants of the southeastern United States /   ,"[Washington, D.C.] :","U.S. Dept. of Agriculture, Agricultural Research Service,",1994,"Meyer, Frederick G.      1917 -2006",no.7,English,Page 122
https://www.biodiversitylibrary.org/page/54565904,Monograph/Item,A checklist of New York State plants /  ,"Albany, N.Y. :","University of the State of New York, State Education Dept.,",1985,"Mitchell, Richard Sheppard,      1938 -",no.458 (1985-1989),English,Page 136
https://www.biodiversitylibrary.org/page/6150113,Monograph/Item,"Compendium florae Germaniae. Sectio I., Plantae phanerogamicae seu vasculosae /",Norimbergae :,"J.L. Schrag,",1836,"Bluff, Matthias Joseph,      1805 -1837",pt. 2,Latin,
https://www.biodiversitylibrary.org/page/39007483,Monograph/Item,"Compendium of plant disease and decay fungi in Canada, 1960-1980 /  ",Ottawa :,"Research Branch, Agriculture Canada,",1986,"Ginns, J. H.     (James Herbert), 1938 -",,English,Page 120
https://www.biodiversitylibrary.org/page/49460300,Monograph/Item,Descriptive notes on Papuan plants  ,Melbourne :,"Government Printer,",1876,"Mueller, Ferdinand von       ",v.1:pt.1-5 (1875-1877),English,Page 40
https://www.biodiversitylibrary.org/page/46359847,Monograph/Item,"A dictionary of plant names,  ","The Hague,","M. Nijhoff,",1911,Hollandsche Maatschappij der Wetenschappen.       ,v. 1,English,Page 737
https://www.biodiversitylibrary.org/page/28118572,Monograph/Item,"Dictionnaire des jardiniers, contenant les mÃ©thodes les plus sÃ»res et les plus modernes pour cultiver et amÃ©liorer les jardins potagers, Ã  fruits, Ã  fleurs et les pÃ©pinieres ... et dans lequel on donne des prÃ©ceptes pour multiplier et faire prospÃ©rer tous les objets soumis Ã  l'agriculture, et la maniere d'employer toutes sortes de bois de charpente.  Ouvrage traduit de l'anglois, sur la huitieme edition de Philippe Miller.  Par une sociÃ©tÃ© de gens de lettres ...  ","Paris,","Guillot,",1785,"Miller, Philip,      1691 -1771",4,French,Page 375
https://www.biodiversitylibrary.org/page/48867377,Monograph/Item,The elements of materia medica and therapeutics  ,London :,"Printed for Longman, Brown, Green and Longmans,",1849,"Pereira, Jonathan,      1804 -1853",2.1,English,Page 1367
https://www.biodiversitylibrary.org/page/46922283,Monograph/Item,"EncyclopÃ_die der Naturwissenschaften. Abt. 2, T. 2, HandwÃ¶rterbuch der Pharmakognosie des Pflanzenreichs /",Breslau :,"Eduard Trewendt,",1882,"Wittstein, Georg Christian,      1810 -1887",,German,Page 477
https://www.biodiversitylibrary.org/page/24544521,Monograph/Item,"EnumeraciÃ_n de las plantas de la Peninsula Hispano-Lusitana Ã© Islas Baleares, con la distribuciÃ_n geogrÃ¡fica de las especies, y sus nombres vulgares, tanto nacionales como provinciales.    ",Madrid :,"Impr. de las Viuda Ã© Hija de Fuentenebro,",1885,"Colmeiro y Penido, Miguel,      1816 -1901",4,Spanish,Page 293
https://www.biodiversitylibrary.org/page/10539346,Monograph/Item,"Flora Aetnea, seu, Descriptio plantarum in Monte Aetna sponte nascentium /  ",Catinae :,"Ex Typis Francisci Galati,",1889,"Tornabene, Francesco,      1813 -1897",v.3,Latin,Page 179
https://www.biodiversitylibrary.org/page/304780,Monograph/Item,"Flora atlantica :sive historia plantarum quae in Atlante, agro tunetano et algeriensi crescunt /  ",Parisiis :,"L.G. Desgranges,",1798,"Desfontaines, ReneÌÅ Louiche,      1750 -1833",v. 2,Latin,Page 13
https://www.biodiversitylibrary.org/page/6101478,Monograph/Item,"Flora Atlantica, sive, Historia plantarum quae in Atlante, agro Tunetano et Algeriensi crescunt /  ",Parisiis :,"Apud Blanchon,",1800,"RedouteÌÅ, Henri Joseph.      1766 -1852",t. 2 text,Latin,Page 13
https://www.biodiversitylibrary.org/page/53308524,Monograph/Item,"Flora francica rediviva, oder KrÃ_uter-Lexicon worinnen der vornehmsten KrÃ_uter, BÃ_ume, Blumen und Wurtzeln &c. unterschiedliche Nahmen, Temperamenta, KrÃ_ffte, Nutzen, WÃ_rckungen, und Praeparata grÃ_ndlich beschrieben werden, /  ","Leipzig, 1716. :","Verlegts Johann Christian Martini, BuchhÃ_ndler in der Nicolaus-Strasse.,",1716,"Hellwig, Christoph von,      1663 -1721",,German,Page 327
https://www.biodiversitylibrary.org/page/6056021,Monograph/Item,"Flora Friburgensis et regionum proxime adjacentium,  ","Friburgi Brisgoviae,","Typis Friderici Wagner,",1825,"Spenner, F. C. L.     (Fridolin Carl Leopold), 1798 -1841",t. 1-2,Latin,Page 402
https://www.biodiversitylibrary.org/page/6148705,Monograph/Item,"Flora italiana; ossia, Descrizione delle piante che crescono spontanee o vegetano come tali in Italia e nelle isole ad essa aggiacenti; disposta secondo il metodo naturale.  ","Firenze,","Tip. Le Monnier,",1884,"Parlatore, Filippo,      1816 -1877",v.6:pt1-2 (1884-1885),Italian,Page 57
https://www.biodiversitylibrary.org/page/6032197,Monograph/Item,Flora Italica; sistens plantas in Italia et in insulis circumstantibus sponte nascentes.  ,"Bononiae,","R. Masi,",1833,"Bertoloni, Antonio,      1775 -1869",6,Latin,Page 75
https://www.biodiversitylibrary.org/page/48194440,Monograph/Item,"Flora medica a botanical account of all the more important plants used in medicine, in different parts of the world /  ",London :,"Longman, Orme, Brown, Green, and Longmans,",1838,"Lindley, John,      1799 -1865",,English,Page 485
https://www.biodiversitylibrary.org/page/22292421,Monograph/Item,Flora medica; a botanical account of all the more important plants used in medicine in different parts of the world.   ,"London,","Longman,",1838,"Lindley, John,      1799 -1865",,English,Page 485
